Product ID,Product Name,Brand,Category,Subcategory,Enabled Stores,Notes
hydrating-88,CeraVe Hydrating Cleanser 88ml,CeraVe,护肤,Cleanser,"Guardian,Watsons,Caring,Shopee",
hydrating-234,CeraVe Hydrating Cleanser 234ml,CeraVe,护肤,Cleanser,"Guardian,Watsons,Caring,Shopee",
hydrating-400,CeraVe Hydrating Cleanser 400ml,CeraVe,护肤,Cleanser,"Guardian,Watsons,Shopee",
foaming-88,CeraVe Foaming Cleanser 88ml,CeraVe,护肤,Cleanser,"Guardian,Watsons,Caring,Shopee",
foaming-234,CeraVe Foaming Cleanser 234ml,CeraVe,护肤,Cleanser,"Guardian,Watsons,Caring,Shopee",
foaming-400,CeraVe Foaming Cleanser 400ml,CeraVe,护肤,Cleanser,"Guardian,Watsons,Shopee",
garnier-toner,Garnier Rose Water 400ml,Garnier,护肤,Toner,"Guardian,Watsons,Shopee",
